Company Name,Call Date,Call Members
OXY,"February 13, 2019 12:00 PM ET","Jeff Alvarez - Vice President, Investor Relations
Vicki Hollub - President & Chief Executive Officer
Cedric Burgher - Senior Vice President & Chief Financial Officer
Ken Dillon - President, International Oil & Gas Operations
BJ Hebert - President of OxyChem
Roger Read - Wells Fargo
Bob Morris - Citi
Paul Sankey - Mizuho
Ryan Todd - Simmons Energy
Brian Singer - Goldman Sachs
Doug Leggate - Bank of America Merrill Lynch
Phil Gresh - JPMorgan
Phillip Jungwirth - BMO Capital Markets
Paul Cheng - Barclays
John Herrlin - Societe Generale
Leo Mariani - KeyBanc"
EOG,"November 02, 2018 10:00 am ET","Timothy K. Driggers - EOG Resources, Inc.
William R. Thomas - EOG Resources, Inc.
Lloyd W. Helms, Jr. - EOG Resources, Inc.
Ezra Y. Yacob - EOG Resources, Inc.
David W. Trice - EOG Resources, Inc.
Sandeep Bhakhri - EOG Resources, Inc.
Analysts
Ryan Todd - Simmons & Company International
Arun Jayaram - JPMorgan Securities LLC
Brian Singer - Goldman Sachs & Co. LLC
Leo P. Mariani - NatAlliance Securities
Robert Alan Brackett - Sanford C. Bernstein & Co. LLC
Charles A. Meade - Johnson Rice & Co. LLC
Irene Haas - Imperial Capital LLC
Subash Chandra - Guggenheim Securities LLC
Jeffrey L. Campbell - Tuohy Brothers Investment Research, Inc."
APC,"February 06, 2019 9:00 AM ET","Mike Pearl - Senior Vice President, Investor Relations
Al Walker â€“ Chairman & Chief Executive Officer
Danny Brown - Executive Vice President, U.S. Onshore Operations
Ben Fink - Chief Financial Officer & Executive Vice President, Finance
Mitch Ingram - Executive Vice President, International, Deepwater & Exploration
Bob Gwin - President
Robin Fielder - President & Chief Executive Officer, Partnerships
Arun Jayaram - JPMorgan
Doug Leggate - Bank of America Merrill Lynch
Brian Singer - Goldman Sachs
Bob Brackett - Bernstein Research
David Deckelbaum - Cowen
Charles Meade - Johnson Rice
Stephen Richardson - Evercore
Welles Fitzpatrick - SunTrust
Mike Scialla - Stifel
Jeffrey Campbell - Tuohy Brothers
Paul Grigel - Macquarie Research
Sameer Panjwani - Tudor, Pickering, Holt
Mike McAllister - MUFG
Paul Sankey - Mizuho
Biju Perincheril - Susquehanna."
APA,"November 01, 2018 11:00 am ET","Gary T. Clark - Apache Corp.
John J. Christmann IV - Apache Corp.
Timothy J. Sullivan - Apache Corp.
Stephen J. Riney - Apache Corp.
Brian W. Freed - Apache Corp.
Analysts
Gail Nicholson - KLR Group LLC
Charles A. Meade - Johnson Rice & Co. LLC
Brian Singer - Goldman Sachs & Co. LLC
John P. Herrlin - SG Americas Securities LLC
Doug Leggate - Bank of America Merrill Lynch
Leo P. Mariani - NatAlliance Securities
Richard Merlin Tullis - Capital One Securities, Inc.
Michael Anthony Hall - Heikkinen Energy Advisors LLC"
COP,"January 31, 2019 12:00 PM ET","Ellen DeSanctis - Investor Relations
Ryan Lance - Chairman and CEO
Don Wallette - Executive Vice President and CFO
Matt Fox - Chief Operating Officer
Paul Cheng - Barclays
Doug Terreson - Evercore ISI
Phil Gresh - JPMorgan
Doug Leggate - Bank of America/Merrill Lynch
John Herrlin - Societe Generale
Roger Read - Wells Fargo
Neil Mehta - Goldman Sachs
Blake Fernandez - Simmons Energy
Scott Hanold - RBC Capital Markets
Jeffrey LeBlanc - Tudor, Pickering, Holt
Michael Hall - Heikkinen Energy Advisors"
PXD,"February 14, 2019 10:00 AM ET","Tim Dove - President & Chief Executive Officer
Rich Dealy - Executive Vice President & Chief Financial Officer
J.D. Hall - Executive Vice President, Permian Operations
Neal Shah - Vice President, Investor Relations
Doug Leggate - Bank of America Merrill Lynch
Arun Jayaram - JPMorgan
Bob Morris - Citi
Charles Meade - Johnson Rice
Brian Singer - Goldman Sachs
John Freeman - Raymond James
Jeanine Wai - Barclays
Ryan Todd - Simmons Energy
Matt Portillo - TPH"
